Experiment Name,141020 Index sort for fluidigm 96X96
Specimen Name,Specimen_001
Tube Name,INX_141020 Plate #1_001
Record Date,Oct 20, 2014 8:58:42 PM
$OP, 
GUID,27a106a9-eba3-4309-863a-5066a2c91b35 
Date Analyzed,10/28/2014 14:14

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,P5 #Events,P5 %Parent,P5 FSC-A Min,P5 FSC-A Max,P5 FSC-A Geo Mean,P5 FSC-A Mean,P5 FSC-A Median,P5 FSC-A SD,P5 FSC-A rSD,P5 FSC-A %CV,P5 FSC-A %rCV,P5 FSC-A Mode,P5 FSC-W Min,P5 FSC-W Max,P5 FSC-W Geo Mean,P5 FSC-W Mean,P5 FSC-W Median,P5 FSC-W SD,P5 FSC-W rSD,P5 FSC-W %CV,P5 FSC-W %rCV,P5 FSC-W Mode,P5 FSC-H Min,P5 FSC-H Max,P5 FSC-H Geo Mean,P5 FSC-H Mean,P5 FSC-H Median,P5 FSC-H SD,P5 FSC-H rSD,P5 FSC-H %CV,P5 FSC-H %rCV,P5 FSC-H Mode,P5 SSC-A Min,P5 SSC-A Max,P5 SSC-A Geo Mean,P5 SSC-A Mean,P5 SSC-A Median,P5 SSC-A SD,P5 SSC-A rSD,P5 SSC-A %CV,P5 SSC-A %rCV,P5 SSC-A Mode,P5 CD41 Alexa Fluor 488-A Min,P5 CD41 Alexa Fluor 488-A Max,P5 CD41 Alexa Fluor 488-A Geo Mean,P5 CD41 Alexa Fluor 488-A Mean,P5 CD41 Alexa Fluor 488-A Median,P5 CD41 Alexa Fluor 488-A SD,P5 CD41 Alexa Fluor 488-A rSD,P5 CD41 Alexa Fluor 488-A %CV,P5 CD41 Alexa Fluor 488-A %rCV,P5 CD41 Alexa Fluor 488-A Mode,P5 CD55 PE-A Min,P5 CD55 PE-A Max,P5 CD55 PE-A Geo Mean,P5 CD55 PE-A Mean,P5 CD55 PE-A Median,P5 CD55 PE-A SD,P5 CD55 PE-A rSD,P5 CD55 PE-A %CV,P5 CD55 PE-A %rCV,P5 CD55 PE-A Mode,P5 CD45-2 PE-Texas Red-A Min,P5 CD45-2 PE-Texas Red-A Max,P5 CD45-2 PE-Texas Red-A Geo Mean,P5 CD45-2 PE-Texas Red-A Mean,P5 CD45-2 PE-Texas Red-A Median,P5 CD45-2 PE-Texas Red-A SD,P5 CD45-2 PE-Texas Red-A rSD,P5 CD45-2 PE-Texas Red-A %CV,P5 CD45-2 PE-Texas Red-A %rCV,P5 CD45-2 PE-Texas Red-A Mode,P5 Lineage PE-Cy5-A Min,P5 Lineage PE-Cy5-A Max,P5 Lineage PE-Cy5-A Geo Mean,P5 Lineage PE-Cy5-A Mean,P5 Lineage PE-Cy5-A Median,P5 Lineage PE-Cy5-A SD,P5 Lineage PE-Cy5-A rSD,P5 Lineage PE-Cy5-A %CV,P5 Lineage PE-Cy5-A %rCV,P5 Lineage PE-Cy5-A Mode,P5 PI PerCP-Cy5-5-A Min,P5 PI PerCP-Cy5-5-A Max,P5 PI PerCP-Cy5-5-A Geo Mean,P5 PI PerCP-Cy5-5-A Mean,P5 PI PerCP-Cy5-5-A Median,P5 PI PerCP-Cy5-5-A SD,P5 PI PerCP-Cy5-5-A rSD,P5 PI PerCP-Cy5-5-A %CV,P5 PI PerCP-Cy5-5-A %rCV,P5 PI PerCP-Cy5-5-A Mode,P5 CD105 PE-Cy7-A Min,P5 CD105 PE-Cy7-A Max,P5 CD105 PE-Cy7-A Geo Mean,P5 CD105 PE-Cy7-A Mean,P5 CD105 PE-Cy7-A Median,P5 CD105 PE-Cy7-A SD,P5 CD105 PE-Cy7-A rSD,P5 CD105 PE-Cy7-A %CV,P5 CD105 PE-Cy7-A %rCV,P5 CD105 PE-Cy7-A Mode,P5 CD150 APC-A Min,P5 CD150 APC-A Max,P5 CD150 APC-A Geo Mean,P5 CD150 APC-A Mean,P5 CD150 APC-A Median,P5 CD150 APC-A SD,P5 CD150 APC-A rSD,P5 CD150 APC-A %CV,P5 CD150 APC-A %rCV,P5 CD150 APC-A Mode,P5 FcgR Alexa Fluor 700-A Min,P5 FcgR Alexa Fluor 700-A Max,P5 FcgR Alexa Fluor 700-A Geo Mean,P5 FcgR Alexa Fluor 700-A Mean,P5 FcgR Alexa Fluor 700-A Median,P5 FcgR Alexa Fluor 700-A SD,P5 FcgR Alexa Fluor 700-A rSD,P5 FcgR Alexa Fluor 700-A %CV,P5 FcgR Alexa Fluor 700-A %rCV,P5 FcgR Alexa Fluor 700-A Mode,P5 cKit APC-Cy7-A Min,P5 cKit APC-Cy7-A Max,P5 cKit APC-Cy7-A Geo Mean,P5 cKit APC-Cy7-A Mean,P5 cKit APC-Cy7-A Median,P5 cKit APC-Cy7-A SD,P5 cKit APC-Cy7-A rSD,P5 cKit APC-Cy7-A %CV,P5 cKit APC-Cy7-A %rCV,P5 cKit APC-Cy7-A Mode,P5 Sca1 DAPI-A Min,P5 Sca1 DAPI-A Max,P5 Sca1 DAPI-A Geo Mean,P5 Sca1 DAPI-A Mean,P5 Sca1 DAPI-A Median,P5 Sca1 DAPI-A SD,P5 Sca1 DAPI-A rSD,P5 Sca1 DAPI-A %CV,P5 Sca1 DAPI-A %rCV,P5 Sca1 DAPI-A Mode,P5 CD115 BV605 Qdot 605-A Min,P5 CD115 BV605 Qdot 605-A Max,P5 CD115 BV605 Qdot 605-A Geo Mean,P5 CD115 BV605 Qdot 605-A Mean,P5 CD115 BV605 Qdot 605-A Median,P5 CD115 BV605 Qdot 605-A SD,P5 CD115 BV605 Qdot 605-A rSD,P5 CD115 BV605 Qdot 605-A %CV,P5 CD115 BV605 Qdot 605-A %rCV,P5 CD115 BV605 Qdot 605-A Mode,P5 Time Min,P5 Time Max,P5 Time Geo Mean,P5 Time Mean,P5 Time Median,P5 Time SD,P5 Time rSD,P5 Time %CV,P5 Time %rCV,P5 Time Mode
A1,1,100.0,170184,170184,170184,170184,170184,,0,,0.0,169984,94819,94819,94819,94819,94819,,0,,0.0,94720,117626,117626,117626,117626,117626,,0,,0.0,117504,97650,97650,97650,97650,97650,,0,,0.0,97536,80,80,80,80,80,,0,,0.0,79,26,26,26,26,26,,0,,0.0,25,1166,1166,1166,1166,1166,,0,,0.0,1152,6009,6009,6009,6009,6009,,0,,0.0,5978,-397,-397,,-397,-397,,0,,0.0,1,-232,-232,,-232,-232,,0,,0.0,1,-53,-53,,-53,-53,,0,,0.0,1,466,466,466,466,466,,0,,0.0,462,359,359,359,359,359,,0,,0.0,357,172,172,172,172,172,,0,,0.0,170,2125,2125,2125,2125,2125,,0,,0.0,2120,4151,4151,4151,4151,4151,,0,,0.0,4096
A2,1,100.0,232885,232885,232885,232885,232885,,0,,0.0,232704,102261,102261,102261,102261,102261,,0,,0.0,102144,149249,149249,149249,149249,149249,,0,,0.0,149248,147115,147115,147115,147115,147115,,0,,0.0,146944,148,148,148,148,148,,0,,0.0,147,92,92,92,92,92,,0,,0.0,91,1114,1114,1114,1114,1114,,0,,0.0,1111,2172,2172,2172,2172,2172,,0,,0.0,2146,-38,-38,,-38,-38,,0,,0.0,1,149,149,149,149,149,,0,,0.0,148,-32,-32,,-32,-32,,0,,0.0,1,594,594,594,594,594,,0,,0.0,589,575,575,575,575,575,,0,,0.0,575,37,37,37,37,37,,0,,0.0,37,62784,62784,62784,62784,62784,,0,,0.0,62162,4391,4391,4391,4391,4391,,0,,0.0,4352
A3,1,100.0,234753,234753,234753,234753,234753,,0,,0.0,234752,98392,98392,98392,98392,98392,,0,,0.0,98304,156362,156362,156362,156362,156362,,0,,0.0,156160,109002,109002,109002,109002,109002,,0,,0.0,108800,79,79,79,79,79,,0,,0.0,79,5542,5542,5542,5542,5542,,0,,0.0,5489,416,416,416,416,416,,0,,0.0,414,1615,1615,1615,1615,1615,,0,,0.0,1601,-402,-402,,-402,-402,,0,,0.0,1,4706,4706,4706,4706,4706,,0,,0.0,4684,-154,-154,,-154,-154,,0,,0.0,1,-32,-32,,-32,-32,,0,,0.0,1,1411,1411,1411,1411,1411,,0,,0.0,1400,123,123,123,123,123,,0,,0.0,122,709,709,709,709,709,,0,,0.0,707,4589,4589,4589,4589,4589,,0,,0.0,4352
A4,1,100.0,190384,190384,190384,190384,190384,,0,,0.0,190208,94801,94801,94801,94801,94801,,0,,0.0,94720,131613,131613,131613,131613,131613,,0,,0.0,131584,107557,107557,107557,107557,107557,,0,,0.0,107520,9,9,9,9,9,,0,,0.0,8,2590,2590,2590,2590,2590,,0,,0.0,2577,548,548,548,548,548,,0,,0.0,541,603,603,603,603,603,,0,,0.0,596,-250,-250,,-250,-250,,0,,0.0,1,3165,3165,3165,3165,3165,,0,,0.0,3132,162,162,162,162,162,,0,,0.0,160,-28,-28,,-28,-28,,0,,0.0,1,1410,1410,1410,1410,1410,,0,,0.0,1400,66,66,66,66,66,,0,,0.0,66,-783,-783,,-783,-783,,0,,0.0,1,4781,4781,4781,4781,4781,,0,,0.0,4608
A5,1,100.0,143491,143491,143491,143491,143491,,0,,0.0,143360,87692,87692,87692,87692,87692,,0,,0.0,87552,107237,107237,107237,107237,107237,,0,,0.0,107008,44744,44744,44744,44744,44744,,0,,0.0,44544,134,134,134,134,134,,0,,0.0,133,9,9,9,9,9,,0,,0.0,8,768,768,768,768,768,,0,,0.0,761,1121,1121,1121,1121,1121,,0,,0.0,1111,-296,-296,,-296,-296,,0,,0.0,1,-1,-1,,-1,-1,,0,,0.0,1,166,166,166,166,166,,0,,0.0,164,34,34,34,34,34,,0,,0.0,33,913,913,913,913,913,,0,,0.0,903,88,88,88,88,88,,0,,0.0,87,522,522,522,522,522,,0,,0.0,515,4973,4973,4973,4973,4973,,0,,0.0,4864
A6,1,100.0,184039,184039,184039,184039,184039,,0,,0.0,183808,93062,93062,93062,93062,93062,,0,,0.0,92928,129604,129604,129604,129604,129604,,0,,0.0,129536,57098,57098,57098,57098,57098,,0,,0.0,57088,39,39,39,39,39,,0,,0.0,38,-15,-15,,-15,-15,,0,,0.0,1,560,560,560,560,560,,0,,0.0,554,1371,1371,1371,1371,1371,,0,,0.0,1367,146,146,146,146,146,,0,,0.0,145,89,89,89,89,89,,0,,0.0,89,-31,-31,,-31,-31,,0,,0.0,1,731,731,731,731,731,,0,,0.0,725,343,343,343,343,343,,0,,0.0,340,26,26,26,26,26,,0,,0.0,25,46632,46632,46632,46632,46632,,0,,0.0,46388,5170,5170,5170,5170,5170,,0,,0.0,5120
A7,1,100.0,165321,165321,165321,165321,165321,,0,,0.0,165120,91249,91249,91249,91249,91249,,0,,0.0,91136,118736,118736,118736,118736,118736,,0,,0.0,118528,61592,61592,61592,61592,61592,,0,,0.0,61440,87,87,87,87,87,,0,,0.0,87,1068,1068,1068,1068,1068,,0,,0.0,1058,1426,1426,1426,1426,1426,,0,,0.0,1418,2168,2168,2168,2168,2168,,0,,0.0,2146,-274,-274,,-274,-274,,0,,0.0,1,243,243,243,243,243,,0,,0.0,242,1074,1074,1074,1074,1074,,0,,0.0,1071,161,161,161,161,161,,0,,0.0,160,1032,1032,1032,1032,1032,,0,,0.0,1020,185,185,185,185,185,,0,,0.0,185,521,521,521,521,521,,0,,0.0,515,5365,5365,5365,5365,5365,,0,,0.0,5120
A8,1,100.0,163187,163187,163187,163187,163187,,0,,0.0,163072,92764,92764,92764,92764,92764,,0,,0.0,92672,115288,115288,115288,115288,115288,,0,,0.0,115200,69212,69212,69212,69212,69212,,0,,0.0,69120,57,57,57,57,57,,0,,0.0,56,2817,2817,2817,2817,2817,,0,,0.0,2806,339,339,339,339,339,,0,,0.0,336,3033,3033,3033,3033,3033,,0,,0.0,3020,-506,-506,,-506,-506,,0,,0.0,1,4514,4514,4514,4514,4514,,0,,0.0,4461,111,111,111,111,111,,0,,0.0,111,-122,-122,,-122,-122,,0,,0.0,1,507,507,507,507,507,,0,,0.0,503,-23,-23,,-23,-23,,0,,0.0,1,-1082,-1082,,-1082,-1082,,0,,0.0,1,5560,5560,5560,5560,5560,,0,,0.0,5376
A9,1,100.0,201823,201823,201823,201823,201823,,0,,0.0,201728,102567,102567,102567,102567,102567,,0,,0.0,102400,128956,128956,128956,128956,128956,,0,,0.0,128768,54090,54090,54090,54090,54090,,0,,0.0,54016,25,25,25,25,25,,0,,0.0,25,1168,1168,1168,1168,1168,,0,,0.0,1166,1266,1266,1266,1266,1266,,0,,0.0,1255,1782,1782,1782,1782,1782,,0,,0.0,1766,-140,-140,,-140,-140,,0,,0.0,1,1971,1971,1971,1971,1971,,0,,0.0,1970,81,81,81,81,81,,0,,0.0,81,67,67,67,67,67,,0,,0.0,66,1110,1110,1110,1110,1110,,0,,0.0,1097,-14,-14,,-14,-14,,0,,0.0,1,591,591,591,591,591,,0,,0.0,589,5757,5757,5757,5757,5757,,0,,0.0,5632
A10,1,100.0,188665,188665,188665,188665,188665,,0,,0.0,188416,93875,93875,93875,93875,93875,,0,,0.0,93696,131710,131710,131710,131710,131710,,0,,0.0,131584,103816,103816,103816,103816,103816,,0,,0.0,103680,153,153,153,153,153,,0,,0.0,150,58,58,58,58,58,,0,,0.0,57,485,485,485,485,485,,0,,0.0,479,3818,3818,3818,3818,3818,,0,,0.0,3807,-50,-50,,-50,-50,,0,,0.0,1,66,66,66,66,66,,0,,0.0,66,-132,-132,,-132,-132,,0,,0.0,1,295,295,295,295,295,,0,,0.0,294,982,982,982,982,982,,0,,0.0,971,131,131,131,131,131,,0,,0.0,130,18764,18764,18764,18764,18764,,0,,0.0,18585,5948,5948,5948,5948,5948,,0,,0.0,5888
