Experiment Name,141020 Index sort for fluidigm 96X96
Specimen Name,Specimen_001
Tube Name,INX_141020 Plate #3_001
Record Date,Oct 20, 2014 9:28:30 PM
$OP, 
GUID,27a106a9-eba3-4309-863a-5066a2c91b35 
Date Analyzed,10/28/2014 14:17

Sort Type,Index Sort
Sort Setup,85 micron
Precision ,Single Cell
Device,96 Well - Falcon
Yield Mask,0
Purity Mask,32
Phase Mask,16
Well,P5 #Events,P5 %Parent,P5 FSC-A Min,P5 FSC-A Max,P5 FSC-A Geo Mean,P5 FSC-A Mean,P5 FSC-A Median,P5 FSC-A SD,P5 FSC-A rSD,P5 FSC-A %CV,P5 FSC-A %rCV,P5 FSC-A Mode,P5 FSC-W Min,P5 FSC-W Max,P5 FSC-W Geo Mean,P5 FSC-W Mean,P5 FSC-W Median,P5 FSC-W SD,P5 FSC-W rSD,P5 FSC-W %CV,P5 FSC-W %rCV,P5 FSC-W Mode,P5 FSC-H Min,P5 FSC-H Max,P5 FSC-H Geo Mean,P5 FSC-H Mean,P5 FSC-H Median,P5 FSC-H SD,P5 FSC-H rSD,P5 FSC-H %CV,P5 FSC-H %rCV,P5 FSC-H Mode,P5 SSC-A Min,P5 SSC-A Max,P5 SSC-A Geo Mean,P5 SSC-A Mean,P5 SSC-A Median,P5 SSC-A SD,P5 SSC-A rSD,P5 SSC-A %CV,P5 SSC-A %rCV,P5 SSC-A Mode,P5 CD41 Alexa Fluor 488-A Min,P5 CD41 Alexa Fluor 488-A Max,P5 CD41 Alexa Fluor 488-A Geo Mean,P5 CD41 Alexa Fluor 488-A Mean,P5 CD41 Alexa Fluor 488-A Median,P5 CD41 Alexa Fluor 488-A SD,P5 CD41 Alexa Fluor 488-A rSD,P5 CD41 Alexa Fluor 488-A %CV,P5 CD41 Alexa Fluor 488-A %rCV,P5 CD41 Alexa Fluor 488-A Mode,P5 CD55 PE-A Min,P5 CD55 PE-A Max,P5 CD55 PE-A Geo Mean,P5 CD55 PE-A Mean,P5 CD55 PE-A Median,P5 CD55 PE-A SD,P5 CD55 PE-A rSD,P5 CD55 PE-A %CV,P5 CD55 PE-A %rCV,P5 CD55 PE-A Mode,P5 CD45-2 PE-Texas Red-A Min,P5 CD45-2 PE-Texas Red-A Max,P5 CD45-2 PE-Texas Red-A Geo Mean,P5 CD45-2 PE-Texas Red-A Mean,P5 CD45-2 PE-Texas Red-A Median,P5 CD45-2 PE-Texas Red-A SD,P5 CD45-2 PE-Texas Red-A rSD,P5 CD45-2 PE-Texas Red-A %CV,P5 CD45-2 PE-Texas Red-A %rCV,P5 CD45-2 PE-Texas Red-A Mode,P5 Lineage PE-Cy5-A Min,P5 Lineage PE-Cy5-A Max,P5 Lineage PE-Cy5-A Geo Mean,P5 Lineage PE-Cy5-A Mean,P5 Lineage PE-Cy5-A Median,P5 Lineage PE-Cy5-A SD,P5 Lineage PE-Cy5-A rSD,P5 Lineage PE-Cy5-A %CV,P5 Lineage PE-Cy5-A %rCV,P5 Lineage PE-Cy5-A Mode,P5 PI PerCP-Cy5-5-A Min,P5 PI PerCP-Cy5-5-A Max,P5 PI PerCP-Cy5-5-A Geo Mean,P5 PI PerCP-Cy5-5-A Mean,P5 PI PerCP-Cy5-5-A Median,P5 PI PerCP-Cy5-5-A SD,P5 PI PerCP-Cy5-5-A rSD,P5 PI PerCP-Cy5-5-A %CV,P5 PI PerCP-Cy5-5-A %rCV,P5 PI PerCP-Cy5-5-A Mode,P5 CD105 PE-Cy7-A Min,P5 CD105 PE-Cy7-A Max,P5 CD105 PE-Cy7-A Geo Mean,P5 CD105 PE-Cy7-A Mean,P5 CD105 PE-Cy7-A Median,P5 CD105 PE-Cy7-A SD,P5 CD105 PE-Cy7-A rSD,P5 CD105 PE-Cy7-A %CV,P5 CD105 PE-Cy7-A %rCV,P5 CD105 PE-Cy7-A Mode,P5 CD150 APC-A Min,P5 CD150 APC-A Max,P5 CD150 APC-A Geo Mean,P5 CD150 APC-A Mean,P5 CD150 APC-A Median,P5 CD150 APC-A SD,P5 CD150 APC-A rSD,P5 CD150 APC-A %CV,P5 CD150 APC-A %rCV,P5 CD150 APC-A Mode,P5 FcgR Alexa Fluor 700-A Min,P5 FcgR Alexa Fluor 700-A Max,P5 FcgR Alexa Fluor 700-A Geo Mean,P5 FcgR Alexa Fluor 700-A Mean,P5 FcgR Alexa Fluor 700-A Median,P5 FcgR Alexa Fluor 700-A SD,P5 FcgR Alexa Fluor 700-A rSD,P5 FcgR Alexa Fluor 700-A %CV,P5 FcgR Alexa Fluor 700-A %rCV,P5 FcgR Alexa Fluor 700-A Mode,P5 cKit APC-Cy7-A Min,P5 cKit APC-Cy7-A Max,P5 cKit APC-Cy7-A Geo Mean,P5 cKit APC-Cy7-A Mean,P5 cKit APC-Cy7-A Median,P5 cKit APC-Cy7-A SD,P5 cKit APC-Cy7-A rSD,P5 cKit APC-Cy7-A %CV,P5 cKit APC-Cy7-A %rCV,P5 cKit APC-Cy7-A Mode,P5 Sca1 DAPI-A Min,P5 Sca1 DAPI-A Max,P5 Sca1 DAPI-A Geo Mean,P5 Sca1 DAPI-A Mean,P5 Sca1 DAPI-A Median,P5 Sca1 DAPI-A SD,P5 Sca1 DAPI-A rSD,P5 Sca1 DAPI-A %CV,P5 Sca1 DAPI-A %rCV,P5 Sca1 DAPI-A Mode,P5 CD115 BV605 Qdot 605-A Min,P5 CD115 BV605 Qdot 605-A Max,P5 CD115 BV605 Qdot 605-A Geo Mean,P5 CD115 BV605 Qdot 605-A Mean,P5 CD115 BV605 Qdot 605-A Median,P5 CD115 BV605 Qdot 605-A SD,P5 CD115 BV605 Qdot 605-A rSD,P5 CD115 BV605 Qdot 605-A %CV,P5 CD115 BV605 Qdot 605-A %rCV,P5 CD115 BV605 Qdot 605-A Mode,P5 Time Min,P5 Time Max,P5 Time Geo Mean,P5 Time Mean,P5 Time Median,P5 Time SD,P5 Time rSD,P5 Time %CV,P5 Time %rCV,P5 Time Mode
A1,1,100.0,209751,209751,209751,209751,209751,,0,,0.0,209664,97811,97811,97811,97811,97811,,0,,0.0,97792,140539,140539,140539,140539,140539,,0,,0.0,140288,129014,129014,129014,129014,129014,,0,,0.0,128768,85,85,85,85,85,,0,,0.0,85,14,14,14,14,14,,0,,0.0,14,692,692,692,692,692,,0,,0.0,690,4155,4155,4155,4155,4155,,0,,0.0,4146,-261,-261,,-261,-261,,0,,0.0,1,191,191,191,191,191,,0,,0.0,189,17,17,17,17,17,,0,,0.0,16,888,888,888,888,888,,0,,0.0,881,414,414,414,414,414,,0,,0.0,414,173,173,173,173,173,,0,,0.0,172,29548,29548,29548,29548,29548,,0,,0.0,29541,1785,1785,1785,1785,1785,,0,,0.0,1536
A2,1,100.0,204834,204834,204834,204834,204834,,0,,0.0,204800,96600,96600,96600,96600,96600,,0,,0.0,96512,138965,138965,138965,138965,138965,,0,,0.0,138752,101361,101361,101361,101361,101361,,0,,0.0,101120,119,119,119,119,119,,0,,0.0,118,27,27,27,27,27,,0,,0.0,26,897,897,897,897,897,,0,,0.0,892,1425,1425,1425,1425,1425,,0,,0.0,1418,8,8,8,8,8,,0,,0.0,7,165,165,165,165,165,,0,,0.0,164,85,85,85,85,85,,0,,0.0,85,457,457,457,457,457,,0,,0.0,456,519,519,519,519,519,,0,,0.0,515,141,141,141,141,141,,0,,0.0,140,50897,50897,50897,50897,50897,,0,,0.0,50522,1894,1894,1894,1894,1894,,0,,0.0,1792
A3,1,100.0,184108,184108,184108,184108,184108,,0,,0.0,184064,94273,94273,94273,94273,94273,,0,,0.0,94208,127987,127987,127987,127987,127987,,0,,0.0,127744,84098,84098,84098,84098,84098,,0,,0.0,83968,72,72,72,72,72,,0,,0.0,71,128,128,128,128,128,,0,,0.0,127,1518,1518,1518,1518,1518,,0,,0.0,1507,3873,3873,3873,3873,3873,,0,,0.0,3854,67,67,67,67,67,,0,,0.0,66,589,589,589,589,589,,0,,0.0,582,-112,-112,,-112,-112,,0,,0.0,1,30,30,30,30,30,,0,,0.0,29,1247,1247,1247,1247,1247,,0,,0.0,1240,156,156,156,156,156,,0,,0.0,156,-755,-755,,-755,-755,,0,,0.0,1,2138,2138,2138,2138,2138,,0,,0.0,2048
A4,1,100.0,208824,208824,208824,208824,208824,,0,,0.0,208640,97945,97945,97945,97945,97945,,0,,0.0,97792,139727,139727,139727,139727,139727,,0,,0.0,139520,130490,130490,130490,130490,130490,,0,,0.0,130304,79,79,79,79,79,,0,,0.0,79,80,80,80,80,80,,0,,0.0,79,1645,1645,1645,1645,1645,,0,,0.0,1641,7224,7224,7224,7224,7224,,0,,0.0,7178,-168,-168,,-168,-168,,0,,0.0,1,235,235,235,235,235,,0,,0.0,233,-212,-212,,-212,-212,,0,,0.0,1,385,385,385,385,385,,0,,0.0,384,556,556,556,556,556,,0,,0.0,554,146,146,146,146,146,,0,,0.0,145,1346,1346,1346,1346,1346,,0,,0.0,1334,2337,2337,2337,2337,2337,,0,,0.0,2304
A5,1,100.0,151918,151918,151918,151918,151918,,0,,0.0,151808,92812,92812,92812,92812,92812,,0,,0.0,92672,107272,107272,107272,107272,107272,,0,,0.0,107264,62253,62253,62253,62253,62253,,0,,0.0,62208,98,98,98,98,98,,0,,0.0,97,2869,2869,2869,2869,2869,,0,,0.0,2841,1975,1975,1975,1975,1975,,0,,0.0,1970,3137,3137,3137,3137,3137,,0,,0.0,3132,-536,-536,,-536,-536,,0,,0.0,1,-14,-14,,-14,-14,,0,,0.0,1,331,331,331,331,331,,0,,0.0,328,72,72,72,72,72,,0,,0.0,71,706,706,706,706,706,,0,,0.0,699,127,127,127,127,127,,0,,0.0,127,738,738,738,738,738,,0,,0.0,734,2529,2529,2528,2529,2529,,0,,0.0,2304
A6,1,100.0,199708,199708,199708,199708,199708,,0,,0.0,199680,94482,94482,94482,94482,94482,,0,,0.0,94464,138524,138524,138524,138524,138524,,0,,0.0,138496,119131,119131,119131,119131,119131,,0,,0.0,119040,137,137,137,137,137,,0,,0.0,135,105,105,105,105,105,,0,,0.0,103,1736,1736,1736,1736,1736,,0,,0.0,1723,6103,6103,6103,6103,6103,,0,,0.0,6051,-450,-450,,-450,-450,,0,,0.0,1,-115,-115,,-115,-115,,0,,0.0,1,-249,-249,,-249,-249,,0,,0.0,1,356,356,356,356,356,,0,,0.0,353,575,575,575,575,575,,0,,0.0,575,103,103,103,103,103,,0,,0.0,102,8184,8184,8184,8184,8184,,0,,0.0,8109,2722,2722,2722,2722,2722,,0,,0.0,2560
A7,1,100.0,140094,140094,140094,140094,140094,,0,,0.0,140032,88602,88602,88602,88602,88602,,0,,0.0,88576,103623,103623,103623,103623,103623,,0,,0.0,103424,34265,34265,34265,34265,34265,,0,,0.0,34048,32,32,32,32,32,,0,,0.0,32,1631,1631,1631,1631,1631,,0,,0.0,1621,1143,1143,1143,1143,1143,,0,,0.0,1138,1869,1869,1869,1869,1869,,0,,0.0,1854,102,102,102,102,102,,0,,0.0,102,219,219,219,219,219,,0,,0.0,217,358,358,358,358,358,,0,,0.0,357,120,120,120,120,120,,0,,0.0,119,842,842,842,842,842,,0,,0.0,839,2,2,2,2,2,,0,,0.0,1,667,667,667,667,667,,0,,0.0,666,2919,2919,2919,2919,2919,,0,,0.0,2816
A8,1,100.0,192680,192680,192680,192680,192680,,0,,0.0,192512,95149,95149,95149,95149,95149,,0,,0.0,94976,132713,132713,132713,132713,132713,,0,,0.0,132608,50023,50023,50023,50023,50023,,0,,0.0,49920,40,40,40,40,40,,0,,0.0,40,2291,2291,2291,2291,2291,,0,,0.0,2281,193,193,193,193,193,,0,,0.0,192,392,392,392,392,392,,0,,0.0,389,-17,-17,,-17,-17,,0,,0.0,1,3144,3144,3144,3144,3144,,0,,0.0,3132,30,30,30,30,30,,0,,0.0,30,-75,-75,,-75,-75,,0,,0.0,1,2007,2007,2007,2007,2007,,0,,0.0,1995,15,15,15,15,15,,0,,0.0,14,-150,-150,,-150,-150,,0,,0.0,1,3110,3110,3110,3110,3110,,0,,0.0,3072
A9,1,100.0,142478,142478,142478,142478,142478,,0,,0.0,142336,88820,88820,88820,88820,88820,,0,,0.0,88576,105128,105128,105128,105128,105128,,0,,0.0,104960,61666,61666,61666,61666,61666,,0,,0.0,61440,92,92,92,92,92,,0,,0.0,91,1484,1484,1484,1484,1484,,0,,0.0,1470,1518,1518,1518,1518,1518,,0,,0.0,1507,895,895,895,895,895,,0,,0.0,892,-90,-90,,-90,-90,,0,,0.0,1,272,272,272,272,272,,0,,0.0,270,347,347,347,347,347,,0,,0.0,344,43,43,43,43,43,,0,,0.0,42,779,779,779,779,779,,0,,0.0,770,-3,-3,,-3,-3,,0,,0.0,1,202,202,202,202,202,,0,,0.0,201,3307,3307,3307,3307,3307,,0,,0.0,3072
A10,1,100.0,197621,197621,197621,197621,197621,,0,,0.0,197376,94917,94917,94917,94917,94917,,0,,0.0,94720,136448,136448,136448,136448,136448,,0,,0.0,136448,74198,74198,74198,74198,74198,,0,,0.0,73984,50,50,50,50,50,,0,,0.0,49,2824,2824,2824,2824,2824,,0,,0.0,2806,946,946,946,946,946,,0,,0.0,936,2748,2748,2748,2748,2748,,0,,0.0,2739,-239,-239,,-239,-239,,0,,0.0,1,2777,2777,2777,2777,2777,,0,,0.0,2772,305,305,305,305,305,,0,,0.0,305,-46,-46,,-46,-46,,0,,0.0,1,1357,1357,1357,1357,1357,,0,,0.0,1350,8,8,8,8,8,,0,,0.0,8,3704,3704,3704,3704,3704,,0,,0.0,3670,3504,3504,3504,3504,3504,,0,,0.0,3328
