Chip Run Info,C:\Users\eva\Documents\Fluidigm\Result\DB\Amol\Amol progenitor 96.96 index sort\141028EES Amol index plate2\ChipRun.bml,1361995093,96.96 (136x),GE 96x96 Fast PCR+Melt v2,ROX,EvaGreen,2014-10-28 12:41:43,00:30:58,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A01,NTC2,Unknown,1,Actb,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A02,NTC2,Unknown,1,Cdkn2d,Test,21.5813886026042,0,Fail,0.0203228454321514,999,80.363693588624,0,
S96-A03,NTC2,Unknown,1,Fgd5,Test,20.5315125374811,0,Fail,0.0203228454321514,999,78.791316506219,0,
S96-A04,NTC2,Unknown,1,Hoxb5,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A05,NTC2,Unknown,1,Myc,Test,20.0803120573587,0,Fail,0.0203228454321514,999,79.2449105482651,0,
S96-A06,NTC2,Unknown,1,vwf,Test,17.2814863198233,0,Fail,0.0203228454321514,999,79.9391347214415,0,
S96-A07,NTC2,Unknown,1,Cdt1,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A08,NTC2,Unknown,1,Ikzf1,Test,21.3088439540488,0,Fail,0.0203228454321514,999,79.604454763681,0,
S96-A09,NTC2,Unknown,1,Mitf,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A10,NTC2,Unknown,1,Rbl1,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A11,NTC2,Unknown,1,Trib2,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A12,NTC2,Unknown,1,Fli1,Test,20.3559126656648,0,Fail,0.0203228454321514,999,79.6208037911707,0,
S96-A13,NTC2,Unknown,1,Ccnd1,Test,24.2205876182887,0,Fail,0.0203228454321514,999,79.0375288361334,0,
S96-A14,NTC2,Unknown,1,Cebpa,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A15,NTC2,Unknown,1,Flt3,Test,24.1654979633533,1,Fail,0.0203228454321514,80.06117047146,999,1,
S96-A16,NTC2,Unknown,1,Il7r,Test,22.3658400144718,0,Fail,0.0203228454321514,999,71.6366710125379,0,
S96-A17,NTC2,Unknown,1,Nfil3,Test,12.5989251958885,0,Fail,0.0203228454321514,999,75.1393530886758,0,
S96-A18,NTC2,Unknown,1,Cbfa2t3,Test,15.882053696675,0,Fail,0.0203228454321514,999,76.2358189868177,0,
S96-A19,NTC2,Unknown,1,Cebpe,Test,23.0859678985326,0,Fail,0.0203228454321514,999,80.28093183841,0,
S96-A20,NTC2,Unknown,1,IKZF2,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A21,NTC2,Unknown,1,Mllt3,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A22,NTC2,Unknown,1,Rbl2,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A23,NTC2,Unknown,1,trib3,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A24,NTC2,Unknown,1,Gfi1,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A25,NTC2,Unknown,1,Ccnd2,Test,24.7771512949423,0,Fail,0.0203228454321514,999,78.6148222328299,0,
S96-A26,NTC2,Unknown,1,Csf2rb,Test,15.6588643869335,0,Fail,0.0203228454321514,999,78.4505793858757,0,
S96-A27,NTC2,Unknown,1,Fos,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A28,NTC2,Unknown,1,Jun,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A29,NTC2,Unknown,1,Rb1,Test,21.1202327924446,0,Fail,0.0203228454321514,999,72.8541139556034,0,
S96-A30,NTC2,Unknown,1,cbx6,Test,21.5357706943271,0,Fail,0.0203228454321514,999,80.0256534831836,0,
S96-A31,NTC2,Unknown,1,Csf1r,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A32,NTC2,Unknown,1,Itga2b,Test,23.5035044453676,0,Fail,0.0203228454321514,999,79.3416460210864,0,
S96-A33,NTC2,Unknown,1,ndn,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A34,NTC2,Unknown,1,Runx1,Test,14.2306137127967,0,Fail,0.0203228454321514,999,75.8786254438486,0,
S96-A35,NTC2,Unknown,1,zbtb20,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A36,NTC2,Unknown,1,Hhex ,Test,999,0,Fail,0.0203228454321514,999,999,0,
S96-A37,NTC2,Unknown,1,Ccnd3,Test,17.5627500222738,0,Pass,0.0203228454321514,84.9911818748197,79.0446078886636,0.459931992809323,
