Chip Run Info,C:\Users\eva\Documents\Fluidigm\Result\DB\Amol\141104EES Plate3 Amol index\ChipRun.bml,1361995087,96.96 (136x),GE 96x96 Fast PCR+Melt v2,ROX,EvaGreen,2014-11-04 16:17:18,00:30:47,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A01,NTC4,Unknown,1,Actb,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A02,NTC4,Unknown,1,Cdkn2d,Test,24.7670458201838,0,Fail,0.01733464063088,999,80.6660716035884,0,
S96-A03,NTC4,Unknown,1,Fgd5,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A04,NTC4,Unknown,1,Hoxb5,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A05,NTC4,Unknown,1,Myc,Test,20.8824433158575,0,Fail,0.01733464063088,999,79.3515052891305,0,
S96-A06,NTC4,Unknown,1,vwf,Test,15.7791415232382,0,Fail,0.01733464063088,999,79.9049803102348,0,
S96-A07,NTC4,Unknown,1,Cdt1,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A08,NTC4,Unknown,1,Ikzf1,Test,21.0879035231087,0,Fail,0.01733464063088,999,79.9625931383446,0,
S96-A09,NTC4,Unknown,1,Mitf,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A10,NTC4,Unknown,1,Rbl1,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A11,NTC4,Unknown,1,Trib2,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A12,NTC4,Unknown,1,Fli1,Test,21.1160964432787,0,Fail,0.01733464063088,999,73.5385401113107,0,
S96-A13,NTC4,Unknown,1,Ccnd1,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A14,NTC4,Unknown,1,Cebpa,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A15,NTC4,Unknown,1,Flt3,Test,24.4445576162503,0,Fail,0.01733464063088,999,78.7178060489638,0,
S96-A16,NTC4,Unknown,1,Il7r,Test,18.2372153996947,0,Fail,0.01733464063088,999,72.1393168780562,0,
S96-A17,NTC4,Unknown,1,Nfil3,Test,11.5815886696314,0,Fail,0.01733464063088,999,75.5300931746688,0,
S96-A18,NTC4,Unknown,1,Cbfa2t3,Test,15.482898125317,0,Fail,0.01733464063088,999,77.0844355747576,0,
S96-A19,NTC4,Unknown,1,Cebpe,Test,20.5186083700049,0,Fail,0.01733464063088,999,79.0539084976935,0,
S96-A20,NTC4,Unknown,1,IKZF2,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A21,NTC4,Unknown,1,Mllt3,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A22,NTC4,Unknown,1,Rbl2,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A23,NTC4,Unknown,1,trib3,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A24,NTC4,Unknown,1,Gfi1,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A25,NTC4,Unknown,1,Ccnd2,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A26,NTC4,Unknown,1,Csf2rb,Test,16.2292881284581,0,Fail,0.01733464063088,999,78.7822090888111,0,
S96-A27,NTC4,Unknown,1,Fos,Test,21.1284289029218,0,Fail,0.01733464063088,999,79.5072199286022,0,
S96-A28,NTC4,Unknown,1,Jun,Test,19.1037395610907,0,Fail,0.01733464063088,999,77.5894143776495,0,
S96-A29,NTC4,Unknown,1,Rb1,Test,20.0693939343242,0,Fail,0.01733464063088,999,77.016573752112,0,
S96-A30,NTC4,Unknown,1,cbx6,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A31,NTC4,Unknown,1,Csf1r,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A32,NTC4,Unknown,1,Itga2b,Test,26.5033137798748,0,Fail,0.01733464063088,999,999,0,
S96-A33,NTC4,Unknown,1,ndn,Test,999,0,Fail,0.01733464063088,999,999,0,
S96-A34,NTC4,Unknown,1,Runx1,Test,13.5724247716608,0,Fail,0.01733464063088,999,76.107038853751,0,
S96-A35,NTC4,Unknown,1,zbtb20,Test,18.8713450388178,1,Fail,0.01733464063088,78.1571868583891,999,1,
S96-A36,NTC4,Unknown,1,Hhex ,Test,27.6785090764336,0,Fail,0.01733464063088,999,999,0,
S96-A37,NTC4,Unknown,1,Ccnd3,Test,18.9113327251848,0,Fail,0.01733464063088,999,79.1751956212537,0,
S96-A38,NTC4,Unknown,1,Dnmt3a,Test,18.9973529283417,0,Fail,0.01733464063088,999,77.8721071270605,0,
